# Source:  “PhotochemCAD 3: Diverse Modules for Photophysical Calculations with Access to Multiple Spectral Databases,”Taniguchi, M.; Du, H.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 277–289. 
# Source:  “Database of Absorption and Fluorescence Spectra of >300 Common Compounds for Use in PhotochemCAD,” Taniguchi, M.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 290–327.
# Date Accessed: 20 Jan 2021
Wavelength (nm)	F14 abs e
230.00	23180
231.00	22169
232.00	21345
233.00	20693
234.00	20207
235.00	19901
236.00	19781
237.00	19818
238.00	20012
239.00	20347
240.00	20775
241.00	21270
242.00	21811
243.00	22369
244.00	22943
245.00	23574
246.00	24223
247.00	24873
248.00	25474
249.00	26029
250.00	26523
251.00	26968
252.00	27360
253.00	27797
254.00	28291
255.00	28877
256.00	29558
257.00	30295
258.00	31037
259.00	31716
260.00	32280
261.00	32697
262.00	32958
263.00	33000
264.00	32752
265.00	32185
266.00	31318
267.00	30272
268.00	29157
269.00	28034
270.00	26906
271.00	25751
272.00	24488
273.00	23108
274.00	21667
275.00	20197
276.00	18743
277.00	17324
278.00	15975
279.00	14660
280.00	13365
281.00	12114
282.00	10901
283.00	9743.8
284.00	8603.6
285.00	7511.3
286.00	6499.1
287.00	5586.9
288.00	4757.6
289.00	4042.3
290.00	3425.7
291.00	2901.7
292.00	2463.7
293.00	2146.4
294.00	1903.0
295.00	1721.0
296.00	1601.9
297.00	1542.8
298.00	1520.9
299.00	1542.8
300.00	1608.4
301.00	1676.8
302.00	1772.7
303.00	1887.6
304.00	2024.0
305.00	2168.2
306.00	2324.1
307.00	2474.0
308.00	2640.1
309.00	2803.9
310.00	2982.7
311.00	3153.0
312.00	3327.0
313.00	3504.4
314.00	3686.3
315.00	3876.2
316.00	4064.7
317.00	4263.4
318.00	4447.7
319.00	4656.6
320.00	4846.5
321.00	5051.3
322.00	5257.0
323.00	5459.0
324.00	5649.3
325.00	5844.8
326.00	6022.6
327.00	6200.8
328.00	6373.5
329.00	6518.7
330.00	6671.8
331.00	6807.2
332.00	6938.9
333.00	7052.4
334.00	7160.0
335.00	7260.9
336.00	7352.2
337.00	7434.5
338.00	7499.7
339.00	7570.9
340.00	7631.9
341.00	7677.9
342.00	7727.3
343.00	7758.4
344.00	7778.0
345.00	7792.9
346.00	7799.9
347.00	7796.6
348.00	7789.2
349.00	7758.4
350.00	7714.7
351.00	7676.1
352.00	7642.1
353.00	7590.4
354.00	7536.0
355.00	7482.9
356.00	7436.9
357.00	7384.7
358.00	7354.5
359.00	7353.1
360.00	7359.1
361.00	7346.6
362.00	7368.0
363.00	7411.7
364.00	7448.0
365.00	7439.6
366.00	7350.3
367.00	7208.4
368.00	7077.1
369.00	7029.6
370.00	7034.8
371.00	7021.7
372.00	6979.8
373.00	6919.3
374.00	6861.6
375.00	6770.9
376.00	6680.6
377.00	6577.3
378.00	6498.6
379.00	6425.1
380.00	6345.5
381.00	6273.9
382.00	6186.8
383.00	6111.0
384.00	6044.4
385.00	6003.9
386.00	5956.0
387.00	5917.8
388.00	5873.2
389.00	5844.3
390.00	5801.5
391.00	5788.0
392.00	5779.6
393.00	5759.1
394.00	5735.9
395.00	5719.6
396.00	5725.2
397.00	5731.7
398.00	5733.5
399.00	5746.1
400.00	5731.7
401.00	5746.1
402.00	5765.2
403.00	5752.2
404.00	5728.0
405.00	5770.3
406.00	5751.7
407.00	5741.9
408.00	5736.3
409.00	5735.9
410.00	5717.7
411.00	5682.8
412.00	5662.3
413.00	5637.7
414.00	5586.0
415.00	5548.3
416.00	5525.5
417.00	5513.4
418.00	5506.9
419.00	5487.8
420.00	5493.4
421.00	5514.8
422.00	5539.0
423.00	5553.0
424.00	5584.6
425.00	5626.5
426.00	5681.0
427.00	5756.3
428.00	5820.1
429.00	5916.9
430.00	6016.5
431.00	6078.4
432.00	6140.8
433.00	6256.6
434.00	6393.5
435.00	6465.6
436.00	6572.2
437.00	6675.0
438.00	6769.5
439.00	6858.4
440.00	6909.1
441.00	6999.4
442.00	7071.1
443.00	7092.5
444.00	7115.3
445.00	7142.7
446.00	7155.8
447.00	7167.4
448.00	7151.6
449.00	7118.5
450.00	7085.0
451.00	7036.2
452.00	6994.7
453.00	6924.5
454.00	6877.0
455.00	6804.4
456.00	6744.8
457.00	6678.3
458.00	6610.8
459.00	6554.0
460.00	6468.4
461.00	6424.2
462.00	6369.3
463.00	6335.3
464.00	6282.2
465.00	6218.5
466.00	6155.6
467.00	6095.2
468.00	6066.3
