
FDA : Summary
Code
	FDA
One-letter code
	X
Molecule name
	DIHYDROFLAVINE-ADENINE DINUCLEOTIDE
Systematic names
	
Program	Version	Name
ACDLabs 	10.04 	[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl (2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxo-1,3,4,5-tetrahydrobenzo[g]pteridin-10(2H)-yl)-2,3,4-trihydroxypentyl dihydrogen diphosphate (non-preferred name)
OpenEye OEToolkits 	1.5.0 	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-oxolan-2-yl]methyl [[(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxo-1,5-dihydrobenzo[g]pteridin-10-yl)-2,3,4-trihydroxy-pentoxy]-hydroxy-phosphoryl] hydrogen phosphate
Formula
	C27 H35 N9 O15 P2
Formal charge
	0
Molecular weight
	787.566 Da
SMILES
	
Type	Program	Version	Descriptor
SMILES 	ACDLabs 	10.04 	O=C3C=2Nc1cc(c(cc1N(C=2NC(=O)N3)CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC6OC(n5cnc4c(ncnc45)N)C(O)C6O)C)C
SMILES 	CACTVS 	3.341 	Cc1cc2NC3=C(NC(=O)NC3=O)N(C[CH](O)[CH](O)[CH](O)CO[P](O)(=O)O[P](O)(=O)OC[CH]4O[CH]([CH](O)[CH]4O)n5cnc6c(N)ncnc56)c2cc1C
SMILES 	OpenEye OEToolkits 	1.5.0 	Cc1cc2c(cc1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)O
Canonical SMILES 	CACTVS 	3.341 	Cc1cc2NC3=C(NC(=O)NC3=O)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)n5cnc6c(N)ncnc56)c2cc1C
Canonical SMILES 	OpenEye OEToolkits 	1.5.0 	Cc1cc2c(cc1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)O)O)O
IUPAC InChI
	InChI=1S/C27H35N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,32,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H2,33,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1
IUPAC InChI key
	YPZRHBJKEMOYQH-UYBVJOGSSA-N
	
FDA

wwPDB Information
Atom count
	88 (53 without Hydrogen)
Polymer type
	Bound ligand
Type description
	NON-POLYMER
Type code
	HETAIN
Is modified
	No
Standard parent
	Not Assigned
Defined at
	1999-07-08
Last modified at
	2011-06-04
Status
	Released
Obsoleted
	Not Assigned

	


FDA : Atoms of Molecule
Total Number of Atoms: 88
Record 	Atom Name 	Symbol 	PDB Name 	Stereochemistry 	Is Aromatic 	Is Leaving Atom 	Charge 	X-Coordinate 	Y-Coordinate 	Z-Coordinate
1 	C1' 	C 	C1* 	N 	N 	N 	0 	-0.158 	-1.08 	6.653
2 	C10 	C 	C10 	N 	N 	N 	0 	1.737 	-0.471 	8.104
3 	C1B 	C 	AC1* 	R 	N 	N 	0 	-0.528 	0.559 	-8.705
4 	C2 	C 	C2 	N 	N 	N 	0 	3.864 	-1.405 	7.691
5 	C2' 	C 	C2* 	S 	N 	N 	0 	-0.038 	-0.144 	5.448
6 	C2A 	C 	AC2 	N 	Y 	N 	0 	1.84 	1.825 	-12.302
7 	C2B 	C 	AC2* 	R 	N 	N 	0 	-1.327 	-0.707 	-9.105
8 	C3' 	C 	C3* 	S 	N 	N 	0 	-0.506 	-0.873 	4.187
9 	C3B 	C 	AC3* 	S 	N 	N 	0 	-2.521 	-0.664 	-8.116
10 	C4 	C 	C4 	N 	N 	N 	0 	3.669 	0.294 	9.288
11 	C4' 	C 	C4* 	R 	N 	N 	0 	-0.386 	0.062 	2.983
12 	C4A 	C 	AC4 	N 	Y 	N 	0 	1.455 	0.872 	-10.246
13 	C4B 	C 	AC4* 	R 	N 	N 	0 	-2.022 	0.232 	-6.966
14 	C4X 	C 	C4A 	N 	N 	N 	0 	2.29 	0.362 	9.037
15 	C5' 	C 	C5* 	N 	N 	N 	0 	-0.854 	-0.666 	1.722
16 	C5A 	C 	AC5 	N 	Y 	N 	0 	2.814 	0.525 	-10.165
17 	C5B 	C 	AC5* 	N 	N 	N 	0 	-2.066 	-0.54 	-5.647
18 	C5X 	C 	C5A 	N 	Y 	N 	0 	0.079 	1.127 	9.675
19 	C6 	C 	C6 	N 	Y 	N 	0 	-0.75 	1.813 	10.544
20 	C6A 	C 	AC6 	N 	Y 	N 	0 	3.653 	0.872 	-11.237
21 	C7 	C 	C7 	N 	Y 	N 	0 	-2.123 	1.644 	10.462
22 	C7M 	C 	C7M 	N 	N 	N 	0 	-3.029 	2.388 	11.408
23 	C8 	C 	C8 	N 	Y 	N 	0 	-2.663 	0.79 	9.52
24 	C8A 	C 	AC8 	N 	Y 	N 	0 	1.859 	-0.171 	-8.346
25 	C8M 	C 	C8M 	N 	N 	N 	0 	-4.157 	0.611 	9.439
26 	C9 	C 	C9 	N 	Y 	N 	0 	-1.837 	0.105 	8.644
27 	C9A 	C 	C9A 	N 	Y 	N 	0 	-0.466 	0.269 	8.718
28 	H1'1 	H 	1H1* 	N 	N 	N 	0 	0.399 	-1.996 	6.458
29 	H1'2 	H 	2H1* 	N 	N 	N 	0 	-1.207 	-1.323 	6.821
30 	H1B 	H 	AH1* 	N 	N 	N 	0 	-0.964 	1.447 	-9.162
31 	H2' 	H 	H2* 	N 	N 	N 	0 	1.0 	0.16 	5.327
32 	H2A 	H 	AH2 	N 	N 	N 	0 	1.451 	2.349 	-13.162
33 	H2B 	H 	AH2* 	N 	N 	N 	0 	-0.729 	-1.607 	-8.956
34 	H3' 	H 	H3* 	N 	N 	N 	0 	-1.546 	-1.178 	4.308
35 	H3B 	H 	AH3* 	N 	N 	N 	0 	-2.747 	-1.665 	-7.747
36 	H4' 	H 	H4* 	N 	N 	N 	0 	0.652 	0.367 	2.862
37 	H4B 	H 	AH4* 	N 	N 	N 	0 	-2.645 	1.123 	-6.894
38 	H5'1 	H 	1H5* 	N 	N 	N 	0 	-0.233 	-1.547 	1.56
39 	H5'2 	H 	2H5* 	N 	N 	N 	0 	-1.894 	-0.971 	1.843
