# Source:  “PhotochemCAD 3: Diverse Modules for Photophysical Calculations with Access to Multiple Spectral Databases,”Taniguchi, M.; Du, H.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 277–289. 
# Source:  “Database of Absorption and Fluorescence Spectra of >300 Common Compounds for Use in PhotochemCAD,” Taniguchi, M.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 290–327.
# Date Accessed: 20 Jan 2021
Wavelength (nm)	T16 BChl a abs e
300.00	19519
300.20	19625
300.40	19676
300.60	19737
300.80	19783
301.00	19962
301.20	20005
301.40	20110
301.60	20189
301.80	20313
302.00	20313
302.20	20342
302.40	20548
302.60	20555
302.80	20628
303.00	20649
303.20	20623
303.40	20710
303.60	20867
303.80	20775
304.00	20933
304.20	20986
304.40	20887
304.60	21000
304.80	21049
305.00	20993
305.20	21008
305.40	21008
305.60	21134
305.80	21293
306.00	21235
306.20	21189
306.40	21267
306.60	21252
306.80	21247
307.00	21322
307.20	21148
307.40	21226
307.60	21148
307.80	21216
308.00	21044
308.20	21068
308.40	21020
308.60	21117
308.80	21063
309.00	21075
309.20	21056
309.40	20974
309.60	20862
309.80	20935
310.00	20937
310.20	20884
310.40	20836
310.60	20870
310.80	20787
311.00	20802
311.20	20746
311.40	20778
311.60	20729
311.80	20758
312.00	20724
312.20	20678
312.40	20698
312.60	20642
312.80	20666
313.00	20560
313.20	20688
313.40	20586
313.60	20753
313.80	20737
314.00	20824
314.20	20848
314.40	20850
314.60	20870
314.80	20916
315.00	20957
315.20	20923
315.40	21039
315.60	20930
315.80	20957
316.00	21131
316.20	21315
316.40	21228
316.60	21325
316.80	21380
317.00	21400
317.20	21598
317.40	21640
317.60	21770
317.80	21877
318.00	22003
318.20	22133
318.40	22175
318.60	22334
318.80	22402
319.00	22317
319.20	22496
319.40	22664
319.60	22697
319.80	22898
320.00	22971
320.20	23058
320.40	23126
320.60	23288
320.80	23525
321.00	23448
321.20	23871
321.40	23755
321.60	23942
321.80	24092
322.00	24131
322.20	24351
322.40	24310
322.60	24644
322.80	24733
323.00	24784
323.20	25012
323.40	25046
323.60	25242
323.80	25317
324.00	25554
324.20	25636
324.40	25869
324.60	25951
324.80	26181
325.00	26338
325.20	26365
325.40	26605
325.60	26733
325.80	27009
326.00	27004
326.20	27203
326.40	27508
326.60	27595
326.80	27813
327.00	27854
327.20	28072
327.40	28270
327.60	28379
327.80	28619
328.00	28752
328.20	28955
328.40	29069
328.60	29205
328.80	29304
329.00	29643
329.20	29788
329.40	30069
329.60	30163
329.80	30369
330.00	30432
330.20	30587
330.40	30875
330.60	30899
330.80	31187
331.00	31185
331.20	31453
331.40	31565
331.60	31809
331.80	32013
332.00	32325
332.20	32405
332.40	32550
332.60	32729
332.80	32937
333.00	33117
333.20	33218
333.40	33334
333.60	33661
333.80	33819
334.00	33959
334.20	34165
334.40	34504
334.60	34617
334.80	34741
335.00	34910
335.20	35123
335.40	35399
335.60	35554
335.80	35697
336.00	35881
336.20	36133
336.40	36208
336.60	36544
336.80	36765
337.00	36941
337.20	37188
337.40	37440
337.60	37636
337.80	37885
338.00	38067
338.20	38343
338.40	38549
338.60	38856
338.80	39096
339.00	39265
339.20	39418
339.40	39658
339.60	39926
339.80	40200
340.00	40355
340.20	40619
340.40	40890
340.60	41110
340.80	41359
341.00	41655
341.20	41822
341.40	42107
341.60	42393
341.80	42543
342.00	42851
342.20	43008
342.40	43415
342.60	43586
342.80	43787
343.00	44085
343.20	44305
343.40	44625
343.60	44853
343.80	45022
344.00	45523
344.20	45683
344.40	45985
344.60	46109
344.80	46431
345.00	46678
345.20	46947
345.40	47259
345.60	47506
345.80	47738
346.00	48004
346.20	48326
346.40	48610
346.60	48852
346.80	49118
347.00	49406
347.20	49750
347.40	50057
347.60	50321
347.80	50684
348.00	50834
348.20	51224
348.40	51556
348.60	51868
348.80	52132
349.00	52464
349.20	52769
349.40	53011
349.60	53393
349.80	53713
350.00	54105
350.20	54480
350.40	54749
350.60	55117
350.80	55352
351.00	55870
351.20	56254
351.40	56734
351.60	56852
351.80	57380
352.00	57683
352.20	57951
352.40	58283
352.60	58615
352.80	59034
353.00	59498
353.20	59842
353.40	60256
353.60	60605
353.80	60946
354.00	61416
354.20	61825
354.40	62166
354.60	62532
354.80	62929
355.00	63268
355.20	63669
355.40	64049
355.60	64439
355.80	64817
356.00	65168
356.20	65509
356.40	65872
356.60	66267
356.80	66594
357.00	66894
357.20	67209
357.40	67465
357.60	67761
357.80	68092
358.00	68443
358.20	68693
358.40	69034
358.60	69196
358.80	69378
359.00	69583
359.20	69753
359.40	69961
359.60	70072
359.80	70281
360.00	70382
360.20	70460
360.40	70542
360.60	70598
360.80	70632
361.00	70571
361.20	70673
361.40	70624
361.60	70605
361.80	70469
362.00	70356
362.20	70370
362.40	70133
362.60	70041
362.80	69779
363.00	69569
363.20	69366
363.40	69102
363.60	68835
363.80	68555
364.00	68245
364.20	67964
364.40	67649
364.60	67269
364.80	66916
365.00	66545
365.20	66177
365.40	65807
365.60	65427
365.80	65006
366.00	64611
366.20	64185
366.40	63728
366.60	63328
366.80	62820
367.00	62316
367.20	61856
367.40	61411
367.60	60985
367.80	60469
368.00	60029
368.20	59527
368.40	59029
368.60	58595
368.80	58155
369.00	57630
369.20	57191
369.40	56809
369.60	56354
369.80	55845
370.00	55405
370.20	54967
370.40	54541
370.60	54180
370.80	53708
371.00	53393
371.20	53035
371.40	52597
371.60	52326
371.80	51926
372.00	51631
372.20	51292
372.40	50892
372.60	50527
372.80	50246
373.00	49973
373.20	49624
373.40	49370
373.60	49009
373.80	48847
374.00	48527
374.20	48268
374.40	48053
374.60	47791
374.80	47586
375.00	47414
375.20	47206
375.40	47000
375.60	46850
375.80	46685
376.00	46499
376.20	46283
376.40	46240
376.60	46007
376.80	45862
377.00	45770
377.20	45671
377.40	45499
377.60	45484
377.80	45288
378.00	45211
378.20	45109
378.40	44993
378.60	44959
378.80	44886
379.00	44828
379.20	44814
379.40	44695
379.60	44642
379.80	44567
380.00	44540
380.20	44446
380.40	44373
380.60	44315
380.80	44320
381.00	44245
381.20	44211
381.40	44124
381.60	44153
381.80	44155
382.00	44085
382.20	44020
382.40	43996
382.60	43906
382.80	43875
383.00	43901
383.20	43785
383.40	43744
383.60	43737
383.80	43666
384.00	43640
384.20	43560
384.40	43524
384.60	43424
384.80	43366
385.00	43306
385.20	43308
385.40	43219
385.60	43160
385.80	43136
386.00	43032
386.20	43015
386.40	42996
386.60	42928
386.80	42884
387.00	42870
387.20	42875
387.40	42824
387.60	42749
387.80	42737
388.00	42766
388.20	42778
388.40	42722
388.60	42812
388.80	42889
389.00	42838
389.20	42858
389.40	42875
389.60	42928
389.80	42894
390.00	42938
390.20	43008
390.40	43020
390.60	43056
390.80	43175
391.00	43245
391.20	43320
391.40	43388
391.60	43473
391.80	43482
392.00	43574
392.20	43659
392.40	43732
392.60	43809
392.80	43959
393.00	44102
393.20	44131
393.40	44303
393.60	44436
393.80	44477
394.00	44610
394.20	44671
394.40	44656
394.60	44729
394.80	44785
395.00	44920
395.20	44901
395.40	44971
395.60	44954
395.80	45005
396.00	45012
396.20	45005
396.40	45039
396.60	45017
396.80	44937
397.00	44867
397.20	44751
397.40	44654
397.60	44502
397.80	44354
398.00	44218
398.20	44046
398.40	43802
398.60	43596
398.80	43310
399.00	43105
399.20	42761
399.40	42410
399.60	42161
399.80	41800
400.00	41420
400.20	41071
400.40	40606
400.60	40154
400.80	39706
401.00	39234
401.20	38750
401.40	38237
401.60	37716
401.80	37174
402.00	36675
402.20	36106
402.40	35545
402.60	34968
402.80	34421
403.00	33794
403.20	33167
403.40	32598
403.60	31993
403.80	31361
404.00	30829
404.20	30187
404.40	29485
404.60	28878
404.80	28229
405.00	27718
405.20	27069
405.40	26447
405.60	25936
405.80	25280
406.00	24707
406.20	24157
406.40	23569
406.60	23000
406.80	22526
407.00	21913
407.20	21412
407.40	20937
407.60	20487
407.80	20005
408.00	19509
408.20	19086
408.40	18560
408.60	18115
408.80	17667
409.00	17292
409.20	16854
409.40	16461
409.60	16038
409.80	15670
410.00	15307
410.20	15009
410.40	14648
410.60	14271
410.80	13995
411.00	13714
411.20	13423
411.40	13065
411.60	12787
411.80	12547
412.00	12346
412.20	12065
412.40	11792
412.60	11564
412.80	11327
413.00	11133
413.20	10942
413.40	10802
413.60	10538
413.80	10417
414.00	10216
414.20	10054
414.40	9869.6
414.60	9724.3
414.80	9586.4
415.00	9402.4
415.20	9278.9
415.40	9189.3
415.60	9027.2
415.80	8891.6
416.00	8765.7
416.20	8644.7
416.40	8555.1
416.60	8509.1
416.80	8354.2
417.00	8245.2
417.20	8158.1
417.40	8083.0
417.60	8000.7
417.80	7889.4
418.00	7795.0
418.20	7732.0
418.40	7642.5
418.60	7632.8
418.80	7456.1
419.00	7388.3
419.20	7385.9
419.40	7327.8
419.60	7238.2
419.80	7109.9
420.00	7134.1
420.20	7059.0
420.40	7025.2
420.60	6998.5
420.80	6930.7
421.00	6809.7
421.20	6763.7
421.40	6712.9
421.60	6708.0
421.80	6669.3
422.00	6603.9
422.20	6601.5
422.40	6521.6
422.60	6482.9
422.80	6444.2
423.00	6386.1
423.20	6311.0
423.40	6260.2
423.60	6354.6
423.80	6274.7
424.00	6236.0
424.20	6173.0
424.40	6153.7
424.60	6088.3
424.80	6110.1
425.00	6037.5
425.20	6037.5
425.40	5955.2
425.60	5894.6
425.80	5911.6
426.00	5880.1
426.20	5819.6
426.40	5812.3
426.60	5768.8
426.80	5717.9
427.00	5705.8
427.20	5708.2
427.40	5671.9
427.60	5655.0
427.80	5613.8
428.00	5548.5
428.20	5594.5
428.40	5536.4
428.60	5514.6
428.80	5451.6
429.00	5437.1
429.20	5437.1
429.40	5383.9
429.60	5388.7
429.80	5340.3
430.00	5364.5
430.20	5308.8
430.40	5306.4
430.60	5272.5
430.80	5265.2
431.00	5291.9
431.20	5289.4
431.40	5308.8
431.60	5260.4
431.80	5245.9
432.00	5151.5
432.20	5180.5
432.40	5168.4
432.60	5192.6
432.80	5110.3
433.00	5086.1
433.20	5103.0
433.40	5105.5
433.60	5115.1
433.80	5049.8
434.00	5018.3
434.20	5001.4
434.40	4986.8
434.60	4957.8
434.80	4969.9
435.00	4919.1
435.20	4928.7
435.40	4931.2
435.60	4897.3
435.80	4868.2
436.00	4890.0
436.20	4858.5
436.40	4839.2
436.60	4773.8
436.80	4817.4
437.00	4752.0
437.20	4773.8
437.40	4776.2
437.60	4715.7
437.80	4747.2
438.00	4708.5
438.20	4681.8
438.40	4558.4
438.60	4626.1
438.80	4589.8
439.00	4560.8
439.20	4490.6
439.40	4497.8
439.60	4488.2
439.80	4490.6
440.00	4468.8
440.20	4447.0
440.40	4434.9
440.60	4403.4
440.80	4432.5
441.00	4369.5
441.20	4357.4
441.40	4333.2
441.60	4357.4
441.80	4323.5
442.00	4304.2
442.20	4243.7
442.40	4253.3
442.60	4275.1
442.80	4175.9
443.00	4183.1
443.20	4171.0
443.40	4212.2
443.60	4149.2
443.80	4035.5
444.00	4040.3
444.20	4042.7
444.40	4004.0
444.60	3977.4
444.80	3958.0
445.00	3856.3
445.20	3941.1
445.40	3919.3
445.60	3916.9
445.80	3873.3
446.00	3902.3
446.20	3829.7
446.40	3786.1
446.60	3832.1
446.80	3791.0
447.00	3786.1
447.20	3752.2
447.40	3723.2
447.60	3679.6
447.80	3674.8
448.00	3665.1
448.20	3672.4
448.40	3633.6
448.60	3648.1
448.80	3556.2
449.00	3558.6
449.20	3575.5
449.40	3488.4
449.60	3476.3
449.80	3481.1
450.00	3582.8
450.20	3517.4
450.40	3524.7
