Entry ID,PDB ID,Resolution (Å),Ligand Formula,Ligand MW,Ligand ID,Ligand Name
1SH9,1SH9,2.5,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
2AQU,2AQU,2,C38 H52 N6 O7,704.855,DR7,"(3S,8S,9S,12S)-3,12-BIS(1,1-DIMETHYLETHYL)-8-HYDROXY-4,11-DIOXO-9-(PHENYLMETHYL)-6-[[4-(2-PYRIDINYL)PHENYL]METHYL]-2,5,
6,10,13-PENTAAZATETRADECANEDIOIC ACID DIMETHYL ESTER"
4NJV,4NJV,1.8,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
3NDW,3NDW,1.14,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
,,,C2 H6 O S,78.133,DMS,DIMETHYL SULFOXIDE
,,,O4 S,96.063,SO4,SULFATE ION
,,,Na,22.99,NA,SODIUM ION
,,,C2 H3 O2,59.044,ACT,ACETATE ION
1N49,1N49,2.2,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
3NDX,3NDX,1.03,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
,,,C2 H6 O S,78.133,DMS,DIMETHYL SULFOXIDE
,,,C3 H8 O3,92.094,GOL,GLYCEROL
,,,Cl,35.453,CL,CHLORIDE ION
,,,O4 S,96.063,SO4,SULFATE ION
3Q70,3Q70,1.4,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
,,,Zn,65.409,ZN,ZINC ION
,,,C6 H14 O2,118.174,MRD,"(4R)-2-METHYLPENTANE-2,4-DIOL"
3TNE,3TNE,2.4,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
4EYR,4EYR,1.8,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
5VEU,5VEU,2.91,C34 H32 Fe N4 O4,616.487,HEM,PROTOPORPHYRIN IX CONTAINING FE
,,,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
1RL8,1RL8,2,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
1HXW,1HXW,1.8,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
3NXU,3NXU,2,C2 H6 O S,78.133,DMS,DIMETHYL SULFOXIDE
,,,C34 H32 Fe N4 O4,616.487,HEM,PROTOPORPHYRIN IX CONTAINING FE
,,,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
5VC0,5VC0,2.7,C34 H32 Fe N4 O4,616.487,HEM,PROTOPORPHYRIN IX CONTAINING FE
,,,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
5VCE,5VCE,2.2,C34 H32 Fe N4 O4,616.487,HEM,PROTOPORPHYRIN IX CONTAINING FE
,,,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
3S53,3S53,1.5,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
,,,O4 P,94.971,PO4,PHOSPHATE ION
,,,I,126.904,IOD,IODIDE ION
3OXX,3OXX,1.65,C3 H8 O3,92.094,GOL,GLYCEROL
,,,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL"
,,,C2 H3 O2,59.044,ACT,ACETATE ION
,,,C38 H52 N6 O7,704.855,DR7,"(3S,8S,9S,12S)-3,12-BIS(1,1-DIMETHYLETHYL)-8-HYDROXY-4,11-DIOXO-9-(PHENYLMETHYL)-6-[[4-(2-PYRIDINYL)PHENYL]METHYL]-2,5,
6,10,13-PENTAAZATETRADECANEDIOIC ACID DIMETHYL ESTER"
,,,O4 P,94.971,PO4,PHOSPHATE ION
3OXW,3OXW,1.95,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
,,,O4 P,94.971,PO4,PHOSPHATE ION
,,,C2 H3 O2,59.044,ACT,ACETATE ION
,,,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL"
,,,C3 H8 O3,92.094,GOL,GLYCEROL
3PRS,3PRS,1.38,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
,,,C2 H6 O S,78.133,DMS,DIMETHYL SULFOXIDE
,,,C10 H22 O6,238.278,1PE,PENTAETHYLENE GLYCOL
,,,C6 H14 O4,150.173,PGE,TRIETHYLENE GLYCOL
,,,C3 H8 O3,92.094,GOL,GLYCEROL
2O4K,2O4K,1.6,Cl,35.453,CL,CHLORIDE ION
,,,C38 H52 N6 O7,704.855,DR7,"(3S,8S,9S,12S)-3,12-BIS(1,1-DIMETHYLETHYL)-8-HYDROXY-4,11-DIOXO-9-(PHENYLMETHYL)-6-[[4-(2-PYRIDINYL)PHENYL]METHYL]-2,5,
6,10,13-PENTAAZATETRADECANEDIOIC ACID DIMETHYL ESTER"
2B60,2B60,2.2,C3 H8 O3,92.094,GOL,GLYCEROL
,,,C37 H48 N6 O5 S2,720.944,RIT,RITONAVIR
3S45,3S45,1.51,Na,22.99,NA,SODIUM ION
,,,Cl,35.453,CL,CHLORIDE ION
,,,C3 H5 N2,69.085,IMD,IMIDAZOLE
,,,Zn,65.409,ZN,ZINC ION
,,,C25 H35 N3 O6 S,505.627,478,{3-[(4-AMINO-BENZENESULFONYL)-ISOBUTYL-AMINO]-1-BENZYL-2-HYDROXY-PROPYL}-CARBAMIC ACID TETRAHYDRO-FURAN-3-YL ESTER
3SO9,3SO9,2.87,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
2O4S,2O4S,1.54,Cl,35.453,CL,CHLORIDE ION
,,,C37 H48 N4 O5,628.801,AB1,"N-{1-BENZYL-4-[2-(2,6-DIMETHYL-PHENOXY)-ACETYLAMINO]-3-HYDROXY-5-PHENYL-PENTYL}-3-METHYL-2-(2-OXO-TETRAHYDRO-PYRIMIDIN-1-YL)-BUTYRAMIDE"
,,,C3 H8 O3,92.094,GOL,GLYCEROL
5KAO,5KAO,1.8,C29 H39 Cl N2 O9 S,627.146,G43,"[(3~{a}~{S},4~{R},6~{a}~{R})-2,3,3~{a},4,5,6~{a}-hexahydrofuro[2,3-b]furan-4-yl] ~{N}-[(2~{S},3~{R})-1-(3-chloranyl-4-methoxy-phenyl)-4-[(4-methoxyphenyl)sulfonyl-(2-methylpropyl)amino]-3-oxidanyl-butan-2-yl]carbamate"
3PWM,3PWM,1.46,Cl,35.453,CL,CHLORIDE ION
,,,C2 H3 O2,59.044,ACT,ACETATE ION
,,,Na,22.99,NA,SODIUM ION
,,,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
3S54,3S54,1.42,Na,22.99,NA,SODIUM ION
,,,Cl,35.453,CL,CHLORIDE ION
,,,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
,,,C3 H8 O3,92.094,GOL,GLYCEROL
,,,C2 H3 O2,59.044,ACT,ACETATE ION
3OXV,3OXV,1.75,C25 H35 N3 O6 S,505.627,478,{3-[(4-AMINO-BENZENESULFONYL)-ISOBUTYL-AMINO]-1-BENZYL-2-HYDROXY-PROPYL}-CARBAMIC ACID TETRAHYDRO-FURAN-3-YL ESTER
,,,O4 P,94.971,PO4,PHOSPHATE ION
,,,C3 H8 O3,92.094,GOL,GLYCEROL
,,,C2 H3 O2,59.044,ACT,ACETATE ION
,,,O4 S,96.063,SO4,SULFATE ION
3D20,3D20,1.05,Na,22.99,NA,SODIUM ION
,,,Cl,35.453,CL,CHLORIDE ION
,,,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
3S56,3S56,1.88,C38 H50 N6 O5,670.841,ROC,"(2S)-N-[(2S,3R)-4-[(2S,3S,4aS,8aS)-3-(tert-butylcarbamoyl)-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinolin-2-yl]-3-hydroxy-1
-phenyl-butan-2-yl]-2-(quinolin-2-ylcarbonylamino)butanediamide"
,,,C2 H3 O2,59.044,ACT,ACETATE ION
4NJU,4NJU,1.8,C31 H33 F3 N2 O5 S,602.664,TPV,"N-(3-{(1R)-1-[(6R)-4-HYDROXY-2-OXO-6-PHENETHYL-6-PROPYL-5,6-DIHYDRO-2H-PYRAN-3-YL]PROPYL}PHENYL)-5-(TRIFLUOROMETHYL)-2-PYRIDINESULFONAMIDE"
3D1Z,3D1Z,1.3,Cl,35.453,CL,CHLORIDE ION
,,,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
,,,C2 H4 O2,60.052,ACY,ACETIC ACID
1SGU,1SGU,1.9,C36 H47 N5 O4,613.789,MK1,"N-[2(R)-HYDROXY-1(S)-INDANYL]-5-[(2(S)-TERTIARY
BUTYLAMINOCARBONYL)-4(3-PYRIDYLMETHYL)PIPERAZINO]-4(S)-HYDROXY-2(R)-PHENYLMETHYLPENTANAMIDE"
3LZU,3LZU,1.76,C2 H3 O2,59.044,ACT,ACETATE ION
,,,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
3LZV,3LZV,2.15,C27 H37 N3 O7 S,547.664,17,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE"
,,,O4 P,94.971,PO4,PHOSPHATE ION
,,,C2 H3 O2,59.044,ACT,ACETATE ION
6DJ1,6DJ1,1.26,Na,22.99,NA,SODIUM ION
,,,Cl,35.453,CL,CHLORIDE ION
,,,C37 H48 N4 O5,628.801,AB1,"N-{1-BENZYL-4-[2-(2,6-DIMETHYL-PHENOXY)-ACETYLAMINO]-3-HYDROXY-5-PHENYL-PENTYL}-3-METHYL-2-(2-OXO-TETRAHYDRO-PYRIMIDIN-1-YL)-BUTYRAMIDE"
6DJ2,6DJ2,1.36,Na,22.99,NA,SODIUM ION
,,,Cl,35.453,CL,CHLORIDE ION
,,,C37 H48 N4 O5,628.801,AB1,"N-{1-BENZYL-4-[2-(2,6-DIMETHYL-PHENOXY)-ACETYLAMINO]-3-HYDROXY-5-PHENYL-PENTYL}-3-METHYL-2-(2-OXO-TETRAHYDRO-PYRIMIDIN-1-YL)-BUTYRAMIDE"
3S43,3S43,1.26,C25 H35 N3 O6 S,505.627,478,{3-[(4-AMINO-BENZENESULFONYL)-ISOBUTYL-AMINO]-1-BENZYL-2-HYDROXY-PROPYL}-CARBAMIC ACID TETRAHYDRO-FURAN-3-YL ESTER
,,,I,126.904,IOD,IODIDE ION
,,,C3 H8 O3,92.094,GOL,GLYCEROL
6PJB,6PJB,1.984,O4 S,96.063,SO4,SULFATE ION
